epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,11.7065,1.78172,2.17159,0.95745,0.94935,0.21326,0.24488,0.1309,1.54906,2.09403,0.89175,0.000405702,0.000405702,0.000405702
2,19.5952,1.51678,1.07758,0.8848,0.503,0.24609,0.28861,0.15458,1.52511,1.79939,0.88339,0.000814227,0.000814227,0.000814227
3,27.3026,1.62585,1.00218,0.88568,0.74012,0.3794,0.41116,0.16562,1.991,1.14079,0.91887,0.0012145,0.0012145,0.0012145
4,35.8964,1.62392,1.00793,0.89035,0.76076,0.45025,0.57518,0.30347,1.48031,0.9356,0.88969,0.00121287,0.00121287,0.00121287
5,42.9033,1.47032,0.91551,0.88685,0.71012,0.53048,0.56758,0.32265,1.32973,0.90248,0.87521,0.0012005,0.0012005,0.0012005
6,51.368,1.44328,0.87195,0.86828,0.76889,0.49499,0.60117,0.32874,1.3437,0.89327,0.87371,0.00118812,0.00118812,0.00118812
7,58.4411,1.40626,0.83692,0.86769,0.70027,0.61323,0.59463,0.30019,1.35434,0.76802,0.87358,0.00117575,0.00117575,0.00117575
8,66.7834,1.38309,0.82944,0.86005,0.58607,0.61587,0.60808,0.34069,1.28013,0.70891,0.86481,0.00116337,0.00116337,0.00116337
9,73.8149,1.371,0.79861,0.86326,0.61547,0.62192,0.61584,0.35299,1.23706,0.70588,0.85901,0.001151,0.001151,0.001151
10,82.209,1.33189,0.74931,0.85644,0.72385,0.5938,0.65451,0.38254,1.23706,0.66637,0.86134,0.00113863,0.00113863,0.00113863
11,89.6974,1.27623,0.72651,0.85036,0.69223,0.66519,0.66025,0.35816,1.27628,0.69463,0.86043,0.00112625,0.00112625,0.00112625
12,97.5565,1.36467,0.74857,0.84938,0.81949,0.64784,0.70656,0.40609,1.19123,0.66198,0.85636,0.00111388,0.00111388,0.00111388
13,105.878,1.26396,0.69562,0.84744,0.71096,0.63836,0.71295,0.41331,1.22738,0.63506,0.86295,0.0011015,0.0011015,0.0011015
14,113.026,1.26801,0.69313,0.85032,0.72967,0.66553,0.70247,0.40213,1.23278,0.6558,0.86797,0.00108913,0.00108913,0.00108913
15,121.493,1.26909,0.70364,0.8435,0.7859,0.60208,0.70693,0.4062,1.22111,0.64379,0.85893,0.00107675,0.00107675,0.00107675
16,128.428,1.25114,0.69606,0.83912,0.78906,0.66723,0.71203,0.41027,1.1499,0.63034,0.8508,0.00106437,0.00106437,0.00106437
17,136.791,1.17893,0.6618,0.84226,0.75176,0.67481,0.69887,0.41272,1.11979,0.6044,0.85007,0.001052,0.001052,0.001052
18,143.702,1.21121,0.66318,0.84071,0.77459,0.63292,0.68445,0.40741,1.15876,0.63029,0.85557,0.00103962,0.00103962,0.00103962
19,152.099,1.16546,0.64052,0.83729,0.70485,0.6763,0.69597,0.41011,1.14774,0.61205,0.85348,0.00102725,0.00102725,0.00102725
20,159.442,1.2186,0.6625,0.83715,0.74767,0.6662,0.71983,0.42306,1.15367,0.59826,0.84978,0.00101488,0.00101488,0.00101488
21,167.474,1.19162,0.64853,0.83575,0.86452,0.65403,0.73993,0.42928,1.13706,0.59643,0.84665,0.0010025,0.0010025,0.0010025
22,175.682,1.19956,0.63974,0.83926,0.81622,0.67257,0.73274,0.43902,1.10657,0.59333,0.84807,0.000990125,0.000990125,0.000990125
23,182.963,1.15364,0.61494,0.83026,0.83476,0.70306,0.75072,0.45566,1.1045,0.57263,0.84346,0.00097775,0.00097775,0.00097775
24,191.375,1.17061,0.6085,0.83483,0.78361,0.6856,0.74212,0.43129,1.19763,0.59496,0.8495,0.000965375,0.000965375,0.000965375
25,198.281,1.19211,0.62743,0.83021,0.75975,0.73853,0.7472,0.45107,1.13641,0.59584,0.84064,0.000953,0.000953,0.000953
26,206.638,1.15659,0.60357,0.834,0.76279,0.73597,0.77615,0.45272,1.14376,0.56241,0.84589,0.000940625,0.000940625,0.000940625
27,213.554,1.12737,0.59453,0.8299,0.79611,0.73676,0.76204,0.45349,1.11103,0.56574,0.84123,0.00092825,0.00092825,0.00092825
28,221.925,1.15668,0.59848,0.83212,0.80496,0.72211,0.75225,0.44765,1.17812,0.59523,0.84991,0.000915875,0.000915875,0.000915875
